Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Bosnia and Herzegovina,Fruits,Online,H,2013-01-05,291305768,1/6/2013,2705,9.33,6.92,25237.65,18718.6,6519.05
Europe,Russia,Personal Care,Online,L,2015-04-24,602357041,5/5/2015,9689,81.73,56.67,791881.97,549075.63,242806.34
Europe,Slovenia,Fruits,Offline,M,2013-12-15,812637078,1/5/2014,6225,9.33,6.92,58079.25,43077.0,15002.25
Europe,Macedonia,Personal Care,Online,L,2014-07-19,456192958,8/18/2014,6489,81.73,56.67,530345.97,367731.63,162614.34
Europe,Albania,Meat,Offline,H,2013-01-31,986449801,3/13/2013,1272,421.89,364.69,536644.08,463885.68,72758.4
Europe,Sweden,Cosmetics,Online,L,2017-07-03,910610234,7/31/2017,8659,437.2,263.33,3785714.8,2280174.47,1505540.33
Europe,Norway,Meat,Online,M,2017-03-03,696844613,3/22/2017,661,421.89,364.69,278869.29,241060.09,37809.2
Europe,Iceland,Cosmetics,Online,C,2012-04-05,907349526,5/16/2012,3743,437.2,263.33,1636439.6,985644.19,650795.41
Europe,Poland,Personal Care,Offline,C,2014-04-05,386440074,4/25/2014,5060,81.73,56.67,413553.8,286750.2,126803.6
Europe,Finland,Vegetables,Online,H,2012-09-28,800352561,10/21/2012,963,154.06,90.93,148359.78,87565.59,60794.19
Europe,Poland,Beverages,Offline,C,2014-01-08,714165675,2/2/2014,6348,47.45,31.79,301212.6,201802.92,99409.68
Europe,Croatia,Beverages,Offline,L,2013-02-22,189924275,3/21/2013,1668,47.45,31.79,79146.6,53025.72,26120.88
Europe,Poland,Meat,Online,H,2013-04-30,546081721,5/22/2013,6571,421.89,364.69,2772239.19,2396377.99,375861.2
Europe,Sweden,Cereal,Offline,L,2012-10-19,737736070,11/3/2012,1352,205.7,117.11,278106.4,158332.72,119773.68
Europe,Czech Republic,Baby Food,Offline,H,2015-07-18,850872075,8/1/2015,810,255.28,159.42,206776.8,129130.2,77646.6
Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,2012-11-08,575583016,11/24/2012,6660,651.21,524.96,4337058.6,3496233.6,840825.0
Europe,Monaco,Personal Care,Online,H,2016-03-29,351247346,5/8/2016,750,81.73,56.67,61297.5,42502.5,18795.0
Europe,Portugal,Beverages,Offline,H,2016-01-20,554721438,1/28/2016,3256,47.45,31.79,154497.2,103508.24,50988.96
Europe,Vatican City,Beverages,Online,C,2015-12-27,370484149,1/19/2016,3348,47.45,31.79,158862.6,106432.92,52429.68
Europe,Denmark,Baby Food,Offline,H,2013-09-29,306839406,10/1/2013,9454,255.28,159.42,2413417.12,1507156.68,906260.44
Europe,Estonia,Beverages,Offline,C,2017-02-09,653548610,2/21/2017,8412,47.45,31.79,399149.4,267417.48,131731.92
Europe,Belarus,Vegetables,Online,L,2012-12-31,413078916,1/11/2013,8086,154.06,90.93,1245729.16,735259.98,510469.18
Europe,Montenegro,Cosmetics,Offline,L,2012-08-19,353320157,8/22/2012,4141,437.2,263.33,1810445.2,1090449.53,719995.67
Europe,Norway,Cereal,Offline,L,2013-06-20,645701968,7/21/2013,6416,205.7,117.11,1319771.2,751377.76,568393.44
Europe,Poland,Office Supplies,Online,H,2013-09-19,148894631,9/25/2013,85,651.21,524.96,55352.85,44621.6,10731.25
Europe,Sweden,Baby Food,Online,L,2013-04-03,443551385,5/9/2013,5566,255.28,159.42,1420888.48,887331.72,533556.76
Europe,Vatican City,Clothes,Offline,H,2014-03-11,508014523,3/20/2014,1642,109.28,35.84,179437.76,58849.28,120588.48
Europe,Lithuania,Office Supplies,Online,C,2012-07-08,987767302,8/1/2012,1150,651.21,524.96,748891.5,603704.0,145187.5
Europe,Croatia,Baby Food,Offline,H,2012-09-19,103832662,10/20/2012,5247,255.28,159.42,1339454.16,836476.74,502977.42
Europe,Malta,Personal Care,Online,H,2014-02-19,445708739,2/27/2014,3975,81.73,56.67,324876.75,225263.25,99613.5
Europe,Macedonia,Beverages,Offline,M,2012-07-24,354655683,7/31/2012,9353,47.45,31.79,443799.85,297331.87,146467.98
Europe,Belarus,Office Supplies,Offline,C,2017-06-30,624398362,7/24/2017,2206,651.21,524.96,1436569.26,1158061.76,278507.5
Europe,Liechtenstein,Beverages,Online,C,2016-09-05,264163959,9/22/2016,840,47.45,31.79,39858.0,26703.6,13154.4
Europe,Armenia,Cereal,Online,H,2013-02-05,424181544,3/4/2013,3600,205.7,117.11,740520.0,421596.0,318924.0
Europe,United Kingdom,Office Supplies,Online,H,2015-07-03,560762631,7/16/2015,979,651.21,524.96,637534.59,513935.84,123598.75
Europe,Moldova ,Office Supplies,Offline,L,2015-04-04,458816373,4/16/2015,2815,651.21,524.96,1833156.15,1477762.4,355393.75
Europe,Netherlands,Household,Offline,L,2013-08-18,142987763,9/1/2013,2112,668.27,502.54,1411386.24,1061364.48,350021.76
Europe,Armenia,Vegetables,Online,M,2016-12-07,571323239,1/1/2017,6097,154.06,90.93,939303.82,554400.21,384903.61
Europe,Italy,Snacks,Online,H,2012-09-16,281100928,11/3/2012,2866,152.58,97.44,437294.28,279263.04,158031.24
Europe,Croatia,Household,Online,L,2013-04-26,659196269,6/1/2013,9680,668.27,502.54,6468853.6,4864587.2,1604266.4
Europe,Bulgaria,Personal Care,Offline,H,2012-10-24,595496594,11/4/2012,9530,81.73,56.67,778886.9,540065.1,238821.8
Europe,Moldova ,Vegetables,Online,L,2016-03-28,810752236,5/4/2016,8458,154.06,90.93,1303039.48,769085.94,533953.54
Europe,Austria,Office Supplies,Online,L,2017-02-18,926064479,3/10/2017,1913,651.21,524.96,1245764.73,1004248.48,241516.25
Europe,Andorra,Fruits,Offline,C,2016-06-29,413245427,7/2/2016,7360,9.33,6.92,68668.8,50931.2,17737.6
Europe,Andorra,Cosmetics,Online,C,2012-06-30,328322827,7/19/2012,6876,437.2,263.33,3006187.2,1810657.08,1195530.12
Europe,Germany,Snacks,Online,H,2014-03-22,158673751,5/10/2014,3944,152.58,97.44,601775.52,384303.36,217472.16
Europe,Italy,Snacks,Offline,L,2014-01-07,464911210,2/10/2014,6413,152.58,97.44,978495.54,624882.72,353612.82
Europe,Italy,Baby Food,Offline,H,2012-03-01,459372985,3/22/2012,7529,255.28,159.42,1922003.12,1200273.18,721729.94
Europe,Armenia,Meat,Online,L,2012-06-25,693210542,8/13/2012,5259,421.89,364.69,2218719.51,1917904.71,300814.8
Europe,Romania,Snacks,Online,H,2014-08-18,747327220,9/15/2014,9587,152.58,97.44,1462784.46,934157.28,528627.18
Europe,Lithuania,Personal Care,Offline,M,2013-03-31,386009633,4/5/2013,7683,81.73,56.67,627931.59,435395.61,192535.98
Europe,Germany,Personal Care,Offline,H,2016-02-08,993368613,2/16/2016,8702,81.73,56.67,711214.46,493142.34,218072.12
Europe,Germany,Baby Food,Online,L,2014-12-09,405986297,1/2/2015,9222,255.28,159.42,2354192.16,1470171.24,884020.92
Europe,Bulgaria,Beverages,Online,H,2016-02-04,476794040,3/7/2016,2807,47.45,31.79,133192.15,89234.53,43957.62
Europe,France,Vegetables,Offline,L,2012-02-01,455040681,2/2/2012,5504,154.06,90.93,847946.24,500478.72,347467.52
Europe,Iceland,Clothes,Online,M,2013-09-10,917792117,10/7/2013,3938,109.28,35.84,430344.64,141137.92,289206.72
Europe,Georgia,Baby Food,Online,L,2014-01-26,359197413,3/8/2014,3352,255.28,159.42,855698.56,534375.84,321322.72
Europe,Romania,Personal Care,Offline,L,2013-05-14,853036296,6/1/2013,1251,81.73,56.67,102244.23,70894.17,31350.06
Europe,Switzerland,Fruits,Offline,M,2012-03-21,567412793,3/27/2012,8910,9.33,6.92,83130.3,61657.2,21473.1
Europe,Ireland,Cosmetics,Offline,H,2016-08-27,139201343,9/6/2016,1625,437.2,263.33,710450.0,427911.25,282538.75
Europe,Ukraine,Cosmetics,Online,C,2014-06-09,183910119,6/11/2014,1946,437.2,263.33,850791.2,512440.18,338351.02
Europe,Luxembourg,Clothes,Online,H,2013-11-07,922363460,11/23/2013,6700,109.28,35.84,732176.0,240128.0,492048.0
Europe,Austria,Beverages,Offline,C,2012-04-02,192922341,5/1/2012,8863,47.45,31.79,420549.35,281754.77,138794.58
Europe,Monaco,Cereal,Online,L,2017-06-03,792178905,7/21/2017,2197,205.7,117.11,451922.9,257290.67,194632.23
Europe,Ireland,Baby Food,Online,H,2017-05-23,243684327,5/30/2017,462,255.28,159.42,117939.36,73652.04,44287.32
Europe,San Marino,Clothes,Offline,M,2012-05-07,152505099,5/19/2012,8503,109.28,35.84,929207.84,304747.52,624460.32
Europe,Georgia,Baby Food,Online,L,2015-06-24,203036630,7/28/2015,1905,255.28,159.42,486308.4,303695.1,182613.3
Europe,Ukraine,Snacks,Offline,C,2016-01-25,611791121,3/3/2016,1443,152.58,97.44,220172.94,140605.92,79567.02
Europe,San Marino,Cereal,Offline,C,2012-07-22,554554927,8/6/2012,3981,205.7,117.11,818891.7,466214.91,352676.79
Europe,Bosnia and Herzegovina,Office Supplies,Offline,H,2012-07-11,434275662,8/13/2012,674,651.21,524.96,438915.54,353823.04,85092.5
Europe,Germany,Personal Care,Offline,H,2014-07-27,835093390,7/29/2014,1547,81.73,56.67,126436.31,87668.49,38767.82
Europe,Croatia,Beverages,Online,M,2017-02-06,976323497,2/10/2017,4674,47.45,31.79,221781.3,148586.46,73194.84
Europe,Lithuania,Beverages,Online,H,2014-01-09,732703387,1/28/2014,2069,47.45,31.79,98174.05,65773.51,32400.54
Europe,Slovenia,Household,Online,C,2014-09-10,873432672,9/17/2014,6992,668.27,502.54,4672543.84,3513759.68,1158784.16
Europe,Greece,Personal Care,Online,M,2017-04-16,800045716,5/14/2017,161,81.73,56.67,13158.53,9123.87,4034.66
Europe,Malta,Vegetables,Online,M,2016-05-10,743769109,5/11/2016,6662,154.06,90.93,1026347.72,605775.66,420572.06
Europe,San Marino,Snacks,Offline,L,2013-01-09,201294267,2/9/2013,6302,152.58,97.44,961559.16,614066.88,347492.28
Europe,Portugal,Meat,Online,L,2013-02-11,668280589,3/28/2013,7932,421.89,364.69,3346431.48,2892721.08,453710.4
Europe,Albania,Household,Online,C,2017-07-14,380379998,7/16/2017,1749,668.27,502.54,1168804.23,878942.46,289861.77
Europe,Netherlands,Clothes,Online,H,2016-01-16,767490565,2/23/2016,6368,109.28,35.84,695895.04,228229.12,467665.92
Europe,Iceland,Snacks,Offline,L,2012-10-30,720931279,11/18/2012,8441,152.58,97.44,1287927.78,822491.04,465436.74
Europe,United Kingdom,Snacks,Online,L,2013-07-13,138025033,8/3/2013,3529,152.58,97.44,538454.82,343865.76,194589.06
Europe,Andorra,Meat,Offline,H,2016-08-16,552931869,9/9/2016,3682,421.89,364.69,1553398.98,1342788.58,210610.4
Europe,Liechtenstein,Fruits,Online,L,2014-02-08,142375361,2/19/2014,888,9.33,6.92,8285.04,6144.96,2140.08
Europe,Belgium,Cosmetics,Offline,C,2014-06-27,916089236,7/28/2014,17,437.2,263.33,7432.4,4476.61,2955.79
Europe,Malta,Cosmetics,Online,M,2015-01-12,265914475,2/21/2015,8857,437.2,263.33,3872280.4,2332313.81,1539966.59
Europe,Slovakia,Snacks,Online,L,2015-07-26,637040793,8/4/2015,3382,152.58,97.44,516025.56,329542.08,186483.48
Europe,Andorra,Personal Care,Offline,L,2014-12-12,754541289,12/19/2014,4390,81.73,56.67,358794.7,248781.3,110013.4
Europe,Serbia,Vegetables,Offline,L,2015-03-16,697638976,3/26/2015,5731,154.06,90.93,882917.86,521119.83,361798.03
Europe,Czech Republic,Baby Food,Online,C,2016-03-10,467312324,4/8/2016,6956,255.28,159.42,1775727.68,1108925.52,666802.16
Europe,Slovenia,Clothes,Online,L,2012-05-26,622441852,5/28/2012,3231,109.28,35.84,353083.68,115799.04,237284.64
Europe,Bulgaria,Meat,Online,C,2016-07-27,349212729,9/11/2016,8662,421.89,364.69,3654411.18,3158944.78,495466.4
Europe,Slovakia,Meat,Offline,H,2013-08-08,876856458,8/29/2013,166,421.89,364.69,70033.74,60538.54,9495.2
Europe,Bulgaria,Beverages,Offline,C,2013-10-19,313178002,12/6/2013,5185,47.45,31.79,246028.25,164831.15,81197.1
Europe,Kosovo,Personal Care,Online,L,2016-02-17,461445796,3/22/2016,920,81.73,56.67,75191.6,52136.4,23055.2
Europe,Spain,Cosmetics,Offline,C,2017-01-03,391026866,1/8/2017,2394,437.2,263.33,1046656.8,630412.02,416244.78
Europe,Germany,Vegetables,Offline,C,2015-08-07,204418504,9/3/2015,833,154.06,90.93,128331.98,75744.69,52587.29
Europe,Romania,Meat,Offline,L,2012-12-22,524972951,1/17/2013,17,421.89,364.69,7172.13,6199.73,972.4
Europe,Latvia,Beverages,Online,C,2013-11-27,469197165,12/11/2013,4723,47.45,31.79,224106.35,150144.17,73962.18
Europe,Macedonia,Office Supplies,Online,M,2016-06-17,823236739,8/1/2016,2900,651.21,524.96,1888509.0,1522384.0,366125.0
Europe,Armenia,Fruits,Offline,L,2015-03-17,439725911,4/7/2015,3524,9.33,6.92,32878.92,24386.08,8492.84
Europe,Cyprus,Snacks,Online,H,2012-10-01,255047452,10/30/2012,3064,152.58,97.44,467505.12,298556.16,168948.96
Europe,Malta,Meat,Offline,C,2014-06-26,662623488,7/11/2014,3870,421.89,364.69,1632714.3,1411350.3,221364.0
Europe,San Marino,Vegetables,Offline,M,2016-01-22,560389268,2/22/2016,492,154.06,90.93,75797.52,44737.56,31059.96
Europe,Montenegro,Household,Online,H,2014-12-25,525321424,12/31/2014,3138,668.27,502.54,2097031.26,1576970.52,520060.74
Europe,Cyprus,Clothes,Online,H,2014-06-10,497554337,7/28/2014,6240,109.28,35.84,681907.2,223641.6,458265.6
Europe,Vatican City,Personal Care,Offline,M,2016-04-15,626322257,5/5/2016,1529,81.73,56.67,124965.17,86648.43,38316.74
Europe,Montenegro,Baby Food,Offline,H,2013-03-03,630931794,4/1/2013,5593,255.28,159.42,1427781.04,891636.06,536144.98
Europe,San Marino,Office Supplies,Offline,L,2017-03-04,239386355,4/20/2017,8597,651.21,524.96,5598452.37,4513081.12,1085371.25
Europe,Germany,Household,Offline,M,2016-08-21,874172532,10/2/2016,5933,668.27,502.54,3964845.91,2981569.82,983276.09
Europe,Hungary,Cosmetics,Online,M,2012-09-20,132603538,11/6/2012,9188,437.2,263.33,4016993.6,2419476.04,1597517.56
Europe,Macedonia,Snacks,Offline,M,2016-03-22,163587558,4/19/2016,8048,152.58,97.44,1227963.84,784197.12,443766.72
Europe,Andorra,Baby Food,Offline,M,2012-01-10,415837943,2/23/2012,4543,255.28,159.42,1159737.04,724245.06,435491.98
Europe,Hungary,Baby Food,Offline,H,2014-05-17,398645198,5/26/2014,6828,255.28,159.42,1743051.84,1088519.76,654532.08
Europe,Latvia,Personal Care,Offline,H,2013-11-02,913074433,12/17/2013,7870,81.73,56.67,643215.1,445992.9,197222.2
Europe,Andorra,Fruits,Offline,H,2014-05-27,889125955,6/15/2014,983,9.33,6.92,9171.39,6802.36,2369.03
Europe,Poland,Cereal,Online,L,2016-11-01,905036389,11/20/2016,9234,205.7,117.11,1899433.8,1081393.74,818040.06
Europe,Montenegro,Clothes,Online,C,2012-03-04,381759297,3/25/2012,9914,109.28,35.84,1083401.92,355317.76,728084.16
Europe,Ukraine,Office Supplies,Offline,M,2017-05-03,181260526,6/3/2017,7872,651.21,524.96,5126325.12,4132485.12,993840.0
Europe,Georgia,Snacks,Online,C,2013-09-01,264959609,10/18/2013,6291,152.58,97.44,959880.78,612995.04,346885.74
Europe,Armenia,Baby Food,Offline,H,2012-01-23,194922626,2/7/2012,791,255.28,159.42,201926.48,126101.22,75825.26
Europe,France,Snacks,Offline,M,2016-07-03,447684133,8/14/2016,8538,152.58,97.44,1302728.04,831942.72,470785.32
Europe,Liechtenstein,Personal Care,Online,H,2012-01-04,527259910,1/11/2012,6779,81.73,56.67,554047.67,384165.93,169881.74
Europe,Hungary,Baby Food,Online,M,2014-08-10,879923617,9/15/2014,7807,255.28,159.42,1992970.96,1244591.94,748379.02
Europe,Portugal,Snacks,Offline,H,2014-03-09,279816472,4/14/2014,2767,152.58,97.44,422188.86,269616.48,152572.38
Europe,Cyprus,Snacks,Online,M,2012-11-05,593018233,12/11/2012,6128,152.58,97.44,935010.24,597112.32,337897.92
Europe,Macedonia,Baby Food,Online,H,2016-09-16,349060380,9/28/2016,3578,255.28,159.42,913391.84,570404.76,342987.08
Europe,San Marino,Beverages,Offline,L,2012-01-02,772893178,1/2/2012,5122,47.45,31.79,243038.9,162828.38,80210.52
Europe,Vatican City,Personal Care,Offline,M,2012-05-24,336111962,6/16/2012,1854,81.73,56.67,151527.42,105066.18,46461.24
Europe,San Marino,Household,Offline,H,2015-12-09,821131742,12/9/2015,9985,668.27,502.54,6672675.95,5017861.9,1654814.05
Europe,Liechtenstein,Household,Online,M,2014-04-27,679108560,6/11/2014,2169,668.27,502.54,1449477.63,1090009.26,359468.37
Europe,Ireland,Fruits,Offline,H,2015-03-12,155914723,3/29/2015,7486,9.33,6.92,69844.38,51803.12,18041.26
Europe,Andorra,Cereal,Offline,M,2015-03-20,443347108,4/9/2015,5116,205.7,117.11,1052361.2,599134.76,453226.44
Europe,Iceland,Office Supplies,Online,C,2013-06-19,527509677,7/10/2013,691,651.21,524.96,449986.11,362747.36,87238.75
Europe,Ireland,Beverages,Offline,H,2016-09-20,416953313,10/29/2016,4606,47.45,31.79,218554.7,146424.74,72129.96
Europe,Belarus,Beverages,Online,L,2014-06-03,879405200,7/20/2014,4396,47.45,31.79,208590.2,139748.84,68841.36
Europe,Netherlands,Fruits,Offline,C,2013-09-20,127838218,10/29/2013,9024,9.33,6.92,84193.92,62446.08,21747.84
Europe,Macedonia,Household,Offline,L,2015-10-13,905509746,10/20/2015,9311,668.27,502.54,6222261.97,4679149.94,1543112.03
Europe,Liechtenstein,Baby Food,Online,H,2012-06-22,720878922,8/1/2012,2948,255.28,159.42,752565.44,469970.16,282595.28
Europe,Italy,Personal Care,Offline,L,2012-11-14,306256616,11/18/2012,6993,81.73,56.67,571537.89,396293.31,175244.58
Europe,Spain,Cereal,Offline,M,2015-01-04,392252957,2/22/2015,5222,205.7,117.11,1074165.4,611548.42,462616.98
Europe,Norway,Cosmetics,Offline,C,2014-03-14,746563756,4/12/2014,3661,437.2,263.33,1600589.2,964051.13,636538.07
Europe,Bulgaria,Household,Online,C,2014-03-21,129902875,4/24/2014,2,668.27,502.54,1336.54,1005.08,331.46
Europe,San Marino,Beverages,Offline,M,2014-05-10,595395314,5/30/2014,9559,47.45,31.79,453574.55,303880.61,149693.94
Europe,Germany,Baby Food,Offline,H,2013-11-27,596166074,1/13/2014,7644,255.28,159.42,1951360.32,1218606.48,732753.84
Europe,Netherlands,Beverages,Offline,C,2012-10-18,906345736,11/21/2012,6699,47.45,31.79,317867.55,212961.21,104906.34
Europe,Germany,Cosmetics,Offline,M,2012-02-26,385340154,3/18/2012,9569,437.2,263.33,4183566.8,2519804.77,1663762.03
Europe,Sweden,Cosmetics,Offline,H,2012-06-03,679039466,7/5/2012,1723,437.2,263.33,753295.6,453717.59,299578.01
Europe,Georgia,Snacks,Offline,L,2017-01-22,341398274,3/7/2017,6191,152.58,97.44,944622.78,603251.04,341371.74
Europe,Greece,Fruits,Offline,H,2015-06-14,516994559,6/20/2015,9034,9.33,6.92,84287.22,62515.28,21771.94
Europe,Slovakia,Cosmetics,Online,H,2015-05-30,549187934,7/17/2015,5769,437.2,263.33,2522206.8,1519150.77,1003056.03
Europe,Macedonia,Clothes,Online,M,2015-04-22,989403665,5/25/2015,5386,109.28,35.84,588582.08,193034.24,395547.84
Europe,Lithuania,Household,Online,H,2012-01-25,516635358,2/26/2012,2738,668.27,502.54,1829723.26,1375954.52,453768.74
Europe,Belarus,Clothes,Offline,M,2015-06-08,173122918,7/25/2015,9773,109.28,35.84,1067993.44,350264.32,717729.12
Europe,Ireland,Beverages,Online,C,2014-07-14,357482516,7/28/2014,5875,47.45,31.79,278768.75,186766.25,92002.5
Europe,Monaco,Clothes,Offline,H,2016-11-16,926763570,11/25/2016,8790,109.28,35.84,960571.2,315033.6,645537.6
Europe,Croatia,Household,Online,M,2013-10-28,107651269,11/11/2013,5258,668.27,502.54,3513763.66,2642355.32,871408.34
Europe,Estonia,Clothes,Offline,L,2016-01-24,264928710,1/27/2016,7147,109.28,35.84,781024.16,256148.48,524875.68
Europe,Serbia,Vegetables,Offline,M,2013-02-25,559417665,2/28/2013,2973,154.06,90.93,458020.38,270334.89,187685.49
Europe,Liechtenstein,Household,Online,C,2015-08-21,184976994,9/21/2015,7658,668.27,502.54,5117611.66,3848451.32,1269160.34
Europe,Cyprus,Beverages,Online,M,2013-12-08,874349772,1/4/2014,8383,47.45,31.79,397773.35,266495.57,131277.78
Europe,Andorra,Household,Online,H,2016-11-15,713009965,12/16/2016,4348,668.27,502.54,2905637.96,2185043.92,720594.04
Europe,Andorra,Baby Food,Online,M,2016-10-24,569941365,11/26/2016,7170,255.28,159.42,1830357.6,1143041.4,687316.2
Europe,Czech Republic,Fruits,Offline,M,2014-11-24,774926936,11/27/2014,6956,9.33,6.92,64899.48,48135.52,16763.96
Europe,Lithuania,Clothes,Online,C,2013-02-06,523836123,3/22/2013,3605,109.28,35.84,393954.4,129203.2,264751.2
